DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Address,Cross Street,Location
201707537,03/19/2020,03/19/2020,1250,17,Devonshire,1743,997,TRAFFIC COLLISION,3004 3026 3029 3037 3101 4026,63,F,O,101,STREET,RESEDA                       BL,SAN JOSE                     ST,"(34.2609, -118.5361)"
201607270,03/19/2020,03/19/2020,0830,16,Foothill,1623,997,TRAFFIC COLLISION,3004 3028 3030 3037 3101 4026,49,F,H,101,STREET,SAN FERNANDO                 RD,TUXFORD                      ST,"(34.2685, -118.4152)"
201507897,03/21/2020,03/19/2020,1900,15,N Hollywood,1511,997,TRAFFIC COLLISION,3009 3026 3037 3101 4015,33,M,H,101,STREET,SHERMAN                      WY,FULTON                       AV,"(34.2012, -118.4225)"
201507835,03/19/2020,03/19/2020,1315,15,N Hollywood,1555,997,TRAFFIC COLLISION,3004 3028 3034 3037 3101 4026,,M,W,101,STREET,MAGNOLIA                     BL,LANKERSHIM                   BL,"(34.1649, -118.3746)"
201507831,03/19/2020,03/19/2020,1140,15,N Hollywood,1519,997,TRAFFIC COLLISION,1218 3003 3025 3037 3101 4026,49,M,W,101,STREET,VANOWEN                      ST,SATSUMA                      AV,"(34.194, -118.367)"
201507829,03/19/2020,03/19/2020,0745,15,N Hollywood,1546,997,TRAFFIC COLLISION,3004 3026 3037 3101 4026,51,M,W,101,STREET,RIVERSIDE                    DR,KRAFT                        AV,"(34.1577, -118.3801)"
200907645,03/19/2020,03/19/2020,1805,09,Van Nuys,0923,997,TRAFFIC COLLISION,3004 3028 3030 3037 3101 4026,47,M,H,101,STREET,VAN NUYS                     BL,GILMORE                      ST,"(34.1877, -118.4487)"
202007738,03/19/2020,03/19/2020,1205,20,Olympic,2022,997,TRAFFIC COLLISION,3004 3025 3035 3036 3101 3401 3701 4020,38,M,W,,,00,,"(34.0635, -118.3091)"
201408569,03/19/2020,03/19/2020,2010,14,Pacific,1489,997,TRAFFIC COLLISION,3004 3026 3035 3037 3101 3401 3701 4014,48,M,O,,,00,,"(33.9454, -118.3701)"
201408554,03/19/2020,03/19/2020,1600,14,Pacific,1412,997,TRAFFIC COLLISION,3004 3026 3035 3036 3101 3401 3701 4014,49,M,H,,,00,,"(33.9967, -118.4794)"
200807528,03/19/2020,03/19/2020,1540,08,West LA,0852,997,TRAFFIC COLLISION,3004 3026 3035 3037 3101 3401 3701 4008,43,M,H,,,00,,"(34.0419, -118.4602)"
200608120,03/19/2020,03/19/2020,1200,06,Hollywood,0677,997,TRAFFIC COLLISION,3004 3025 3035 3037 3101 3401 3701 4006,27,M,H,,,00,,"(34.0835, -118.3091)"
201907886,03/19/2020,03/19/2020,1605,19,Mission,1964,997,TRAFFIC COLLISION,3004 3037 3028 3101 4019,35,F,H,101,STREET,KESTER,NORDHOFF,"(34.2355, -118.4568)"
201607325,03/22/2020,03/19/2020,1828,16,Foothill,1638,997,TRAFFIC COLLISION,3008 3036 3028 3101 4016 0605,34,F,H,101,STREET,MAGNOLIA                     BL,HARMONY                      ST,"(34.2595, -118.293)"
201408574,03/19/2020,03/19/2020,1620,14,Pacific,1431,997,TRAFFIC COLLISION,3003 3026 3029 3035 3037 3104 3401 3701 4014,60,F,H,101,STREET,OCEAN FRONT                  WK,19TH                         AV,"(33.9853, -118.4723)"
201408546,03/19/2020,03/19/2020,1500,14,Pacific,1412,997,TRAFFIC COLLISION,3004 3025 3035 3037 3101 3401 3701 4014,40,M,W,101,STREET,MAIN                         ST,THORNTON                     PL,"(33.9935, -118.4752)"
200907634,03/19/2020,03/19/2020,1145,09,Van Nuys,0906,997,TRAFFIC COLLISION,3004 3036 3034 3028 3101 4026,24,M,H,101,STREET,HAZELTINE                    AV,COVELLO                      ST,"(34.2072, -118.44)"
200907633,03/19/2020,03/19/2020,1345,09,Van Nuys,0961,997,TRAFFIC COLLISION,3004 3037 3026 3101 4026,26,F,B,101,STREET,SEPULVEDA                    BL,MORRISON                     ST,"(34.1603, -118.4662)"
200807535,03/20/2020,03/19/2020,2030,08,West LA,0895,997,TRAFFIC COLLISION,3004 3028 3030 3035 3037 3101 3401 3701 4027,71,M,W,101,STREET,NATIONAL                     BL,CLUB                         DR,"(34.0305, -118.4024)"
201808536,03/22/2020,03/19/2020,1525,18,Southeast,1841,997,TRAFFIC COLLISION,4025 3036 3004 3028 3030 3101,41,F,B,101,STREET,VERMONT                      AV,108TH                        ST,"(33.9382, -118.2916)"
