Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,PCT_SE_A03001_002,PCT_SE_A03001_003,PCT_SE_A03001_004,PCT_SE_A03001_005,PCT_SE_A03001_006,PCT_SE_A03001_007,PCT_SE_A03001_008,SE_A09005_001,SE_A09005_002,SE_A09005_009,SE_A09005_010,SE_A09005_003,SE_A09005_004,SE_A09005_005,SE_A09005_006,SE_A09005_007,SE_A09005_008,PCT_SE_A09005_002,PCT_SE_A09005_009,PCT_SE_A09005_010,PCT_SE_A09005_003,PCT_SE_A09005_004,PCT_SE_A09005_005,PCT_SE_A09005_006,PCT_SE_A09005_007,PCT_SE_A09005_008,SE_A09004B_008,SE_A09004B_001,SE_A09004B_002,SE_A09004B_003,SE_A09004B_004,SE_A09004B_005,SE_A09004B_006,SE_A09004B_007,PCT_SE_A09004B_001,PCT_SE_A09004B_002,PCT_SE_A09004B_003,PCT_SE_A09004B_004,PCT_SE_A09004B_005,PCT_SE_A09004B_006,PCT_SE_A09004B_007,SE_A09003_001,SE_A10054B_001,SE_A10054B_002,SE_A10054B_003,SE_A10054B_004,SE_A10054B_005,SE_A10054B_006,SE_A10054B_007,PCT_SE_A10054B_002,PCT_SE_A10054B_003,PCT_SE_A10054B_004,PCT_SE_A10054B_005,PCT_SE_A10054B_006,PCT_SE_A10054B_007
"06037603500","14000US06037603500","Census Tract 6035","Census Tract 6035, Los Angeles County, California","ca","140","00","ACSSF","0005882",,,,,"06","037",,,,"603500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3084,10053.56,0.306757019723644,3084,1225,321,7,788,0,514,229,39.72,10.41,0.23,25.55,0,16.67,7.43,1578,1470,1300,170,22,0,10,16,14,46,93.16,82.38,10.77,1.39,0,0.63,1.01,0.89,2.92,1566,227,179,19,0,7,14,8,14.5,11.43,1.21,0,0.45,0.89,0.51,27,137,7,60,42,24,4,0,5.11,43.8,30.66,17.52,2.92,0
"06037603600","14000US06037603600","Census Tract 6036","Census Tract 6036, Los Angeles County, California","ca","140","00","ACSSF","0005883",,,,,"06","037",,,,"603600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4270,11796.39,0.361975036177774,4270,1812,464,53,1280,0,492,169,42.44,10.87,1.24,29.98,0,11.52,3.96,2118,1903,1772,131,67,2,0,53,6,87,89.85,83.66,6.19,3.16,0.09,0,2.5,0.28,4.11,2112,859,736,72,22,0,6,23,40.67,34.85,3.41,1.04,0,0.28,1.09,29,486,38,146,174,77,51,0,7.82,30.04,35.8,15.84,10.49,0
"06037603702","14000US06037603702","Census Tract 6037.02","Census Tract 6037.02, Los Angeles County, California","ca","140","00","ACSSF","0005884",,,,,"06","037",,,,"603702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4914,5012.011,0.980444697041067,4914,2674,175,16,1102,32,602,313,54.42,3.56,0.33,22.43,0.65,12.25,6.37,2392,2164,1961,203,19,36,0,58,3,112,90.47,81.98,8.49,0.79,1.51,0,2.42,0.13,4.68,2384,605,491,50,8,31,25,0,25.38,20.6,2.1,0.34,1.3,1.05,0,32,257,8,74,53,92,30,0,3.11,28.79,20.62,35.8,11.67,0
"06037603703","14000US06037603703","Census Tract 6037.03","Census Tract 6037.03, Los Angeles County, California","ca","140","00","ACSSF","0005885",,,,,"06","037",,,,"603703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2513,9983.266,0.251721243496109,2513,1166,83,146,449,0,471,198,46.4,3.3,5.81,17.87,0,18.74,7.88,1253,1158,1058,100,12,6,6,8,4,59,92.42,84.44,7.98,0.96,0.48,0.48,0.64,0.32,4.71,1253,111,96,15,0,0,0,0,8.86,7.66,1.2,0,0,0,0,28,93,0,49,40,0,4,0,0,52.69,43.01,0,4.3,0
"06037603704","14000US06037603704","Census Tract 6037.04","Census Tract 6037.04, Los Angeles County, California","ca","140","00","ACSSF","0005886",,,,,"06","037",,,,"603704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6625,27482.41,0.241063279057664,6625,1281,2136,253,292,0,2080,583,19.34,32.24,3.82,4.41,0,31.4,8.8,3031,2557,2226,331,228,0,43,0,141,62,84.36,73.44,10.92,7.52,0,1.42,0,4.65,2.05,3028,2626,1883,331,210,0,184,18,86.72,62.19,10.93,6.94,0,6.08,0.59,28,1831,176,1043,439,93,33,47,9.61,56.96,23.98,5.08,1.8,2.57
"06037603801","14000US06037603801","Census Tract 6038.01","Census Tract 6038.01, Los Angeles County, California","ca","140","00","ACSSF","0005887",,,,,"06","037",,,,"603801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4747,18443.41,0.257381887483649,4747,1057,898,21,374,29,1570,798,22.27,18.92,0.44,7.88,0.61,33.07,16.81,2273,2000,1801,199,41,0,22,53,107,50,87.99,79.23,8.75,1.8,0,0.97,2.33,4.71,2.2,2273,1668,1274,143,41,53,107,50,73.38,56.05,6.29,1.8,2.33,4.71,2.2,26,1109,84,456,446,79,44,0,7.57,41.12,40.22,7.12,3.97,0
"06037603802","14000US06037603802","Census Tract 6038.02","Census Tract 6038.02, Los Angeles County, California","ca","140","00","ACSSF","0005888",,,,,"06","037",,,,"603802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3777,15507.46,0.243560201823329,3777,1353,291,9,565,158,1196,205,35.82,7.7,0.24,14.96,4.18,31.67,5.43,1888,1573,1485,88,58,16,20,91,65,65,83.32,78.65,4.66,3.07,0.85,1.06,4.82,3.44,3.44,1888,1291,984,48,31,65,111,52,68.38,52.12,2.54,1.64,3.44,5.88,2.75,28,707,39,170,332,110,56,0,5.52,24.05,46.96,15.56,7.92,0
"06037603900","14000US06037603900","Census Tract 6039","Census Tract 6039, Los Angeles County, California","ca","140","00","ACSSF","0005889",,,,,"06","037",,,,"603900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7510,13080.41,0.574140884050428,7510,3149,607,0,837,13,2469,435,41.93,8.08,0,11.15,0.17,32.88,5.79,3603,3137,2727,410,144,0,74,151,67,30,87.07,75.69,11.38,4,0,2.05,4.19,1.86,0.83,3603,2158,1562,269,135,78,84,30,59.89,43.35,7.47,3.75,2.16,2.33,0.83,26,1580,154,698,542,166,20,0,9.75,44.18,34.3,10.51,1.27,0
"06037604001","14000US06037604001","Census Tract 6040.01","Census Tract 6040.01, Los Angeles County, California","ca","140","00","ACSSF","0005890",,,,,"06","037",,,,"604001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4600,18078.25,0.254449441464594,4600,2138,445,7,460,22,1167,361,46.48,9.67,0.15,10,0.48,25.37,7.85,2375,2148,1991,157,100,8,16,31,24,48,90.44,83.83,6.61,4.21,0.34,0.67,1.31,1.01,2.02,2375,1563,1269,89,71,31,55,48,65.81,53.43,3.75,2.99,1.31,2.32,2.02,24,852,26,177,439,176,25,9,3.05,20.77,51.53,20.66,2.93,1.06
"06037604002","14000US06037604002","Census Tract 6040.02","Census Tract 6040.02, Los Angeles County, California","ca","140","00","ACSSF","0005891",,,,,"06","037",,,,"604002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4886,19448.63,0.251225874405596,4886,2025,362,0,745,30,1294,430,41.44,7.41,0,15.25,0.61,26.48,8.8,2472,1989,1889,100,113,10,41,86,85,148,80.46,76.42,4.05,4.57,0.4,1.66,3.48,3.44,5.99,2472,1778,1326,67,113,56,113,103,71.93,53.64,2.71,4.57,2.27,4.57,4.17,27,1062,12,477,408,126,31,8,1.13,44.92,38.42,11.86,2.92,0.75
