,Date_Occurred,Time_Occurred,Area_ID,Area_Name,MO_Codes,Victim_Age,Victim_Sex,Victim_Descent,Address,Cross_Street,Location,Latitude,Longitude,geometry
17,2020-03-19,825,1,Central,3101 3401 3701 0605 3004,42.0,Male,Other Asian,4TH                          ST,ALAMEDA                      ST,"(34.0433, -118.2381)",34.0433,-118.2381,POINT (-118.2381 34.0433)
18,2020-03-19,1000,1,Central,3101 3401 3701 0605 3004 3026 3036,56.0,Male,White,17TH,GRAND,"(34.0351, -118.2672)",34.0351,-118.2672,POINT (-118.2672 34.0351)
19,2020-03-19,1900,6,Hollywood,3004 3028 3030 3035 3037 3101 3401 3701 4027,38.0,Male,Other,MELROSE,WESTERN,"(34.0835, -118.3091)",34.0835,-118.3091,POINT (-118.3091 34.0835)
20,2020-03-19,1330,13,Newton,3101 3401 3701 3004 3030 0605,40.0,Female,Black,SLAUSON                      AV,MAIN                         ST,"(33.9892, -118.2739)",33.9892,-118.2739,POINT (-118.2739 33.9892)
21,2020-03-19,1250,7,Wilshire,3004 3028 3034 3030 3036 3101 3401 3701 4007,40.0,Female,White,MELROSE                      AV,DETROIT                      ST,"(34.0835, -118.3452)",34.0835,-118.3452,POINT (-118.3452 34.0835)
22,2020-03-19,2150,19,Mission,3004 3036 3030 3028 3101 4026,47.0,Male,Other,WOODMAN                      AV,PEACHTREE                    ST,"(34.2115, -118.4311)",34.2115,-118.4311,POINT (-118.4311 34.2115)
23,2020-03-19,2050,17,Devonshire,3004 3028 3030 3037 3101 4026,66.0,Male,Other,RINALDI                      ST,ENCINO                       AV,"(34.2794, -118.5153)",34.2794,-118.5153,POINT (-118.5153 34.2794)
24,2020-03-19,1635,17,Devonshire,3004 3028 3030 3032 3037 4026 3102,80.0,Male,White,RESEDA                       BL,NORDHOFF                     ST,"(34.2355, -118.5361)",34.2355,-118.5361,POINT (-118.5361 34.2355)
25,2020-03-19,1710,17,Devonshire,3004 3028 3030 3037 3101 4026,42.0,Female,"Hispanic, Latin, Mexican",BALBOA                       BL,RINALDI                      ST,"(34.2793, -118.5021)",34.2793,-118.5021,POINT (-118.5021 34.2793)
26,2020-03-19,1250,17,Devonshire,3004 3026 3029 3037 3101 4026,63.0,Female,Other,RESEDA                       BL,SAN JOSE                     ST,"(34.2609, -118.5361)",34.2609,-118.5361,POINT (-118.5361 34.2609)
27,2020-03-19,830,16,Foothill,3004 3028 3030 3037 3101 4026,49.0,Female,"Hispanic, Latin, Mexican",SAN FERNANDO                 RD,TUXFORD                      ST,"(34.2685, -118.4152)",34.2685,-118.4152,POINT (-118.4152 34.2685)
28,2020-03-19,1315,15,N Hollywood,3004 3028 3034 3037 3101 4026,,Male,White,MAGNOLIA                     BL,LANKERSHIM                   BL,"(34.1649, -118.3746)",34.1649,-118.3746,POINT (-118.3746 34.1649)
29,2020-03-19,1140,15,N Hollywood,1218 3003 3025 3037 3101 4026,49.0,Male,White,VANOWEN                      ST,SATSUMA                      AV,"(34.194, -118.367)",34.194,-118.367,POINT (-118.367 34.194)
30,2020-03-19,745,15,N Hollywood,3004 3026 3037 3101 4026,51.0,Male,White,RIVERSIDE                    DR,KRAFT                        AV,"(34.1577, -118.3801)",34.1577,-118.3801,POINT (-118.3801 34.1577)
31,2020-03-19,1805,9,Van Nuys,3004 3028 3030 3037 3101 4026,47.0,Male,"Hispanic, Latin, Mexican",VAN NUYS                     BL,GILMORE                      ST,"(34.1877, -118.4487)",34.1877,-118.4487,POINT (-118.4487 34.1877)
32,2020-03-19,1205,20,Olympic,3004 3025 3035 3036 3101 3401 3701 4020,38.0,Male,White,00,,"(34.0635, -118.3091)",34.0635,-118.3091,POINT (-118.3091 34.0635)
33,2020-03-19,2010,14,Pacific,3004 3026 3035 3037 3101 3401 3701 4014,48.0,Male,Other,00,,"(33.9454, -118.3701)",33.9454,-118.3701,POINT (-118.3701 33.9454)
34,2020-03-19,1600,14,Pacific,3004 3026 3035 3036 3101 3401 3701 4014,49.0,Male,"Hispanic, Latin, Mexican",00,,"(33.9967, -118.4794)",33.9967,-118.4794,POINT (-118.4794 33.9967)
35,2020-03-19,1540,8,West LA,3004 3026 3035 3037 3101 3401 3701 4008,43.0,Male,"Hispanic, Latin, Mexican",00,,"(34.0419, -118.4602)",34.0419,-118.4602,POINT (-118.4602 34.0419)
36,2020-03-19,1200,6,Hollywood,3004 3025 3035 3037 3101 3401 3701 4006,27.0,Male,"Hispanic, Latin, Mexican",00,,"(34.0835, -118.3091)",34.0835,-118.3091,POINT (-118.3091 34.0835)
