DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Address,Cross Street,Location
191504001,01/01/2019,12/31/2018,1825,15,N Hollywood,1538,997,TRAFFIC COLLISION,3004 3037 3026 3101 3401 3701 4026,33,M,H,101,STREET,HATTERAS                     ST,VINELAND                     AV,"(34.1758, -118.3703)"
191404024,12/31/2018,12/31/2018,1625,14,Pacific,1465,997,TRAFFIC COLLISION,3004 3025 3035 3036 3101 3401 3701 4014,34,M,W,101,STREET,JEFFERSON                    BL,405                          FY,"(33.9877, -118.3992)"
191404150,01/02/2019,12/31/2018,1000,14,Pacific,1464,997,TRAFFIC COLLISION,3006 3028 3030 3035 3037 3102 3401 3701 4027,42,X,X,101,STREET,12700 W  JEFFERSON                    BL,,"(33.9793, -118.4138)"
191304124,01/03/2019,12/31/2018,1430,13,Newton,1317,997,TRAFFIC COLLISION,3004 3101 3401 3701 3030,24,M,B,101,STREET,14TH                         ST,CENTRAL                      AV,"(34.0284, -118.2469)"
191404016,01/01/2019,12/31/2018,2325,14,Pacific,1444,997,TRAFFIC COLLISION,3006 3028 3030 3035 3037 3102 3401 3701 4027,42,M,O,101,STREET,LINCOLN                      BL,WASHINGTON                   BL,"(33.9857, -118.4435)"
191404005,12/31/2018,12/31/2018,1645,14,Pacific,1497,997,TRAFFIC COLLISION,3035 3004 3026 3037 3101 3401 3701 4014,23,F,B,101,STREET,AVIATION                     BL,CENTURY                      BL,"(33.9455, -118.3785)"
191404023,12/31/2018,12/31/2018,1900,14,Pacific,1409,997,TRAFFIC COLLISION,3006 3028 3030 3035 3037 3101 3401 3701 4027,34,F,W,101,STREET,3300    ROBERTSON                    PL,,"(34.0285, -118.392)"
191404154,12/31/2018,12/31/2018,1400,14,Pacific,1444,997,TRAFFIC COLLISION,3006 3028 3030 3035 3037 3101 3401 3701 4014,27,F,W,101,STREET,LINCOLN                      BL,MARINA POINTE                DR,"(33.9857, -118.4435)"
191204018,12/31/2018,12/31/2018,1950,12,77th Street,1209,997,TRAFFIC COLLISION,0605 4012 3037 3004 3024 3101,20,M,H,101,STREET,FIGUEROA                     ST,49TH                         ST,"(33.9988, -118.2827)"
191204319,01/05/2019,12/31/2018,1915,12,77th Street,1245,997,TRAFFIC COLLISION,4025 3037 3004 3028 3101,58,F,H,101,STREET,67TH                         ST,NORMANDIE                    AV,"(33.9785, -118.3003)"
